Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-01-31 02:07:17,2025-02-01 01:37:42,UTC-05:00,63,64,48,33.10,96.33,7.1,1126,172,77,2025-01-31 02:07:17,2025-01-31 12:27:20,100,17.0,474,620,323,111,40,146,397,93,77,26
2025-01-30 01:12:06,2025-01-31 02:07:17,UTC-05:00,69,62,54,33.90,93.25,8.0,1558,188,78,2025-01-30 01:12:06,2025-01-30 07:55:53,71,16.5,352,403,170,86,96,51,497,0,88,69
2025-01-29 00:52:57,2025-01-30 01:12:06,UTC-05:00,41,66,43,33.42,91.25,14.7,2143,180,78,2025-01-29 00:52:57,2025-01-29 08:22:51,100,16.8,401,449,216,86,99,48,318,127,90,53
2025-01-27 22:07:41,2025-01-29 00:52:57,UTC-05:00,1,82,28,35.50,94.75,7.4,1044,148,74,2025-01-27 22:07:41,2025-01-27 23:53:26,18,17.2,99,105,70,15,14,6,555,68,93,24
2025-01-27 00:39:03,2025-01-27 22:07:41,UTC-05:00,43,63,46,33.71,93.25,12.9,1722,153,82,2025-01-27 00:39:03,2025-01-27 08:05:35,79,16.7,401,445,251,87,63,44,509,117,90,26
2025-01-25 22:34:54,2025-01-27 00:39:03,UTC-05:00,,,,,,7.6,1079,148,79,,,,,,,,,,,,,,
2025-01-25 04:34:54,2025-01-25 22:34:54,UTC-05:00,40,63,47,34.40,93.29,4.1,705,134,72,2025-01-25 04:34:54,2025-01-25 10:51:44,59,17.7,342,373,161,79,102,31,578,86,92,34
2025-01-23 01:46:22,2025-01-25 04:34:54,UTC-05:00,49,59,52,33.70,90.33,13.7,2410,165,87,2025-01-23 01:46:22,2025-01-23 07:58:53,71,16.9,338,369,209,66,63,31,473,122,91,53
2025-01-22 01:01:31,2025-01-23 01:46:22,UTC-05:00,62,59,57,33.97,94.62,9.3,1636,159,73,2025-01-22 01:01:31,2025-01-22 07:53:27,60,17.0,367,408,224,53,90,41,613,127,90,53
2025-01-21 00:57:10,2025-01-22 00:01:31,UTC-06:00,48,63,60,35.70,94.20,12.6,1754,157,80,2025-01-21 00:57:10,2025-01-21 06:33:09,48,17.0,280,332,187,69,24,52,585,71,87,64
2025-01-20 01:38:02,2025-01-21 00:57:10,UTC-06:00,51,63,52,34.70,92.79,17.1,2391,168,87,2025-01-20 01:38:02,2025-01-20 08:37:10,73,17.1,382,415,228,94,60,33,524,49,92,65
2025-01-19 02:11:33,2025-01-20 01:38:02,UTC-06:00,52,63,51,34.51,89.00,10.0,1604,153,78,2025-01-19 02:11:33,2025-01-19 10:28:04,84,17.5,415,496,242,108,65,81,493,28,85,61
2025-01-18 03:02:33,2025-01-19 02:11:33,UTC-06:00,54,63,53,34.66,95.11,3.8,679,122,69,2025-01-18 03:02:33,2025-01-18 09:50:09,90,17.3,382,407,244,89,49,25,426,118,93,42
2025-01-17 01:58:43,2025-01-18 03:02:33,UTC-06:00,40,64,47,34.40,89.69,11.1,1613,163,81,2025-01-17 01:58:43,2025-01-17 08:04:01,58,17.2,322,360,177,85,60,38,559,83,90,
2025-01-16 03:24:42,2025-01-17 01:58:43,UTC-06:00,47,66,49,34.84,91.54,10.3,1574,165,76,2025-01-16 03:24:42,2025-01-16 11:56:08,78,17.6,460,510,221,118,121,50,590,122,90,
2025-01-15 00:00:00,2025-01-16 03:24:42,UTC-06:00,,,,,,6.9,845,155,84,,,,,,,,,,,,,,
2025-01-03 02:24:17,2025-01-04 02:24:17,UTC-05:00,29,69,40,33.43,96.44,5.2,1105,136,86,2025-01-03 02:24:17,2025-01-03 08:20:17,54,16.6,285,335,121,99,65,50,530,51,85,51
2025-01-01 23:42:19,2025-01-03 02:24:17,UTC-05:00,54,64,48,34.05,96.56,11.1,1851,160,77,2025-01-01 23:42:19,2025-01-02 09:19:36,86,16.6,503,576,269,158,76,73,583,74,87,33
2025-01-01 02:59:37,2025-01-01 22:42:19,UTC-06:00,89,62,89,34.01,96.63,16.3,2031,174,86,2025-01-01 02:59:37,2025-01-01 07:30:14,63,16.7,252,270,114,53,85,18,402,127,94,21
2024-12-31 00:18:17,2025-01-01 02:59:37,UTC-06:00,42,65,52,34.56,95.18,15.1,1978,185,82,2024-12-31 00:18:17,2024-12-31 04:33:59,46,16.6,223,255,151,51,21,32,486,8,87,51
2024-12-30 01:35:14,2024-12-31 00:18:17,UTC-06:00,98,64,82,34.60,91.45,11.1,1400,164,76,2024-12-30 01:35:14,2024-12-30 10:26:51,97,16.9,473,531,333,106,34,58,486,85,89,59
2024-12-29 01:50:27,2024-12-30 01:35:14,UTC-06:00,55,69,42,35.12,91.18,8.2,1524,157,77,2024-12-29 01:50:27,2024-12-29 08:29:25,73,17.1,365,398,184,87,94,33,499,8,91,61
2024-12-28 02:18:16,2024-12-29 01:50:27,UTC-06:00,65,65,46,34.84,94.90,13.6,1871,176,81,2024-12-28 02:18:16,2024-12-28 10:59:47,97,16.5,451,521,280,108,63,70,465,0,86,41
2024-12-26 01:46:50,2024-12-28 02:18:16,UTC-06:00,43,73,34,,93.09,4.0,827,128,76,2024-12-26 01:46:50,2024-12-26 07:07:22,100,17.5,280,307,226,34,20,27,59,16,91,21
2024-12-24 15:34:30,2024-12-26 01:46:50,UTC-06:00,75,67,51,33.37,96.50,11.7,1866,163,77,2024-12-24 15:34:30,2024-12-24 18:52:32,88,17.3,184,198,139,22,23,14,209,118,94,26
2024-12-23 14:38:22,2024-12-24 15:34:30,UTC-06:00,54,66,58,34.90,95.75,8.6,1354,161,77,2024-12-23 14:38:22,2024-12-23 18:31:58,47,17.4,211,233,184,9,18,22,448,127,92,12
2024-12-22 23:43:52,2024-12-23 14:38:22,UTC-06:00,1,79,38,33.12,,5.2,904,146,78,2024-12-22 23:43:52,2024-12-23 00:57:25,22,21.1,73,73,73,0,0,0,327,127,100,25
2024-12-21 03:02:49,2024-12-23 00:43:52,UTC-05:00,4,73,32,34.33,94.50,8.2,1600,151,78,2024-12-21 03:02:49,2024-12-21 04:59:56,16,17.9,102,117,66,24,12,15,637,102,89,48
2024-12-20 04:02:08,2024-12-21 03:02:49,UTC-05:00,64,61,58,34.52,93.00,20.0,3166,177,91,2024-12-20 04:02:08,2024-12-20 09:15:13,58,17.6,279,313,151,68,60,34,484,33,89,57
2024-12-19 04:10:30,2024-12-20 04:02:08,UTC-05:00,54,63,49,33.50,95.00,13.2,1904,157,80,2024-12-19 04:10:30,2024-12-19 11:46:43,87,17.5,346,456,213,68,65,110,398,22,83,44
2024-12-18 03:21:54,2024-12-19 04:10:30,UTC-05:00,36,64,39,33.97,95.75,10.0,1668,158,74,2024-12-18 03:21:54,2024-12-18 14:41:13,94,17.5,512,679,298,117,97,167,548,68,75,59
2024-12-17 03:47:44,2024-12-18 03:21:54,UTC-05:00,75,58,60,33.34,99.00,11.3,1628,171,75,2024-12-17 03:47:44,2024-12-17 12:04:42,75,17.5,414,485,200,104,110,71,551,81,85,75
2024-12-16 03:30:37,2024-12-17 03:47:44,UTC-05:00,83,58,65,34.30,92.50,8.3,1577,145,74,2024-12-16 03:30:37,2024-12-16 09:41:06,67,16.8,332,370,158,67,107,38,494,0,90,77
2024-12-15 03:25:09,2024-12-16 03:30:37,UTC-05:00,91,59,61,34.90,95.29,14.2,2064,150,78,2024-12-15 03:25:09,2024-12-15 11:56:31,100,17.2,478,511,231,87,160,33,471,0,93,68
2024-12-14 03:16:44,2024-12-15 03:25:09,UTC-05:00,96,63,61,34.10,97.25,8.4,1562,144,73,2024-12-14 03:16:44,2024-12-14 11:30:10,100,16.9,452,493,225,113,114,41,425,9,91,54
2024-12-13 01:37:13,2024-12-14 03:16:44,UTC-05:00,67,63,50,34.70,89.85,15.9,2036,208,78,2024-12-13 01:37:13,2024-12-13 10:45:24,97,17.4,497,548,262,109,126,51,512,30,90,61
2024-12-12 04:12:26,2024-12-13 01:37:13,UTC-05:00,74,62,58,34.10,93.60,11.9,1599,150,81,2024-12-12 04:12:26,2024-12-12 11:42:32,90,17.2,407,450,220,90,97,43,454,87,90,40
2024-12-11 01:55:08,2024-12-12 04:12:26,UTC-05:00,26,70,37,34.04,92.95,6.0,1602,137,74,2024-12-11 01:55:08,2024-12-11 08:19:57,66,17.2,342,384,190,107,45,42,517,45,89,53
2024-12-10 03:07:01,2024-12-11 01:55:08,UTC-05:00,43,67,42,33.60,98.80,9.0,1496,184,78,2024-12-10 03:07:01,2024-12-10 11:33:43,83,17.1,430,504,237,84,109,74,521,32,85,47
2024-12-09 03:22:54,2024-12-10 03:07:01,UTC-05:00,65,64,58,34.54,95.15,13.3,1643,205,77,2024-12-09 03:22:54,2024-12-09 11:27:39,89,17.0,422,484,222,107,93,62,473,0,89,32
2024-12-07 16:59:20,2024-12-09 03:22:54,UTC-05:00,45,120,42,,,9.5,2227,142,73,2024-12-07 16:59:20,2024-12-08 06:47:40,100,17.2,828,828,828,0,0,0,547,79,100,12
2024-12-07 02:34:12,2024-12-07 16:59:20,UTC-05:00,46,69,48,33.42,97.00,6.6,931,167,70,2024-12-07 02:34:12,2024-12-07 10:52:15,78,17.1,446,498,246,106,94,52,571,111,90,70
2024-12-06 02:21:19,2024-12-07 02:34:12,UTC-05:00,55,60,59,34.90,96.29,14.4,1971,184,77,2024-12-06 02:21:19,2024-12-06 10:05:11,70,16.7,400,439,192,90,118,39,573,93,91,
2024-12-05 04:08:36,2024-12-06 02:21:19,UTC-05:00,42,61,53,35.46,94.73,11.3,1617,159,76,2024-12-05 04:08:36,2024-12-05 10:00:57,63,17.0,315,351,142,94,79,36,502,0,89,
2024-12-04 16:08:36,2024-12-05 04:08:36,UTC-05:00,,,,,,5.0,542,134,75,,,,,,,,,,,,,,
