Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-01-27 00:39:03,2025-01-27 22:07:41,UTC-05:00,2025-01-27 00:39:03,2025-01-27 08:05:35,79,16.7,401,445,251,87,63,44,509,117,90,26,FALSE
2025-01-25 22:34:54,2025-01-27 00:39:03,UTC-05:00,2025-01-26 14:43:44,2025-01-26 16:14:34,13,16.8,77,86,55,15,7,9,584,117,91,,TRUE
2025-01-25 04:34:54,2025-01-25 22:34:54,UTC-05:00,2025-01-25 04:34:54,2025-01-25 10:51:44,59,17.7,342,373,161,79,102,31,578,86,92,34,FALSE
2025-01-23 01:46:22,2025-01-25 04:34:54,UTC-05:00,2025-01-23 01:46:22,2025-01-23 07:58:53,71,16.9,338,369,209,66,63,31,473,122,91,53,FALSE
2025-01-22 01:01:31,2025-01-23 01:46:22,UTC-05:00,2025-01-22 12:34:38,2025-01-22 14:44:53,21,16.4,122,130,67,28,27,8,589,122,97,,TRUE
2025-01-22 01:01:31,2025-01-23 01:46:22,UTC-05:00,2025-01-22 01:01:31,2025-01-22 07:53:27,60,17.0,367,408,224,53,90,41,613,127,90,53,FALSE
2025-01-21 00:57:10,2025-01-22 00:01:31,UTC-06:00,2025-01-21 00:57:10,2025-01-21 06:33:09,48,17.0,280,332,187,69,24,52,585,71,87,64,FALSE
2025-01-20 01:38:02,2025-01-21 00:57:10,UTC-06:00,2025-01-20 01:38:02,2025-01-20 08:37:10,73,17.1,382,415,228,94,60,33,524,49,92,65,FALSE
2025-01-19 02:11:33,2025-01-20 01:38:02,UTC-06:00,2025-01-19 02:11:33,2025-01-19 10:28:04,84,17.5,415,496,242,108,65,81,493,28,85,61,FALSE
2025-01-18 03:02:33,2025-01-19 02:11:33,UTC-06:00,2025-01-18 03:02:33,2025-01-18 09:50:09,90,17.3,382,407,244,89,49,25,426,118,93,42,FALSE
2025-01-17 01:58:43,2025-01-18 03:02:33,UTC-06:00,2025-01-17 15:44:00,2025-01-17 18:40:53,29,17.3,170,174,92,21,57,4,596,118,98,,TRUE
2025-01-17 01:58:43,2025-01-18 03:02:33,UTC-06:00,2025-01-17 01:58:43,2025-01-17 08:04:01,58,17.2,322,360,177,85,60,38,559,83,90,,FALSE
2025-01-16 03:24:42,2025-01-17 01:58:43,UTC-06:00,2025-01-16 03:24:42,2025-01-16 11:56:08,78,17.6,460,510,221,118,121,50,590,122,90,,FALSE
2025-01-03 02:24:17,2025-01-04 02:24:17,UTC-05:00,2025-01-03 02:24:17,2025-01-03 08:20:17,54,16.6,285,335,121,99,65,50,530,51,85,51,FALSE
2025-01-01 23:42:19,2025-01-03 02:24:17,UTC-05:00,2025-01-01 23:42:19,2025-01-02 09:19:36,86,16.6,503,576,269,158,76,73,583,74,87,33,FALSE
2025-01-01 02:59:37,2025-01-01 22:42:19,UTC-06:00,2025-01-01 02:59:37,2025-01-01 07:30:14,63,16.7,252,270,114,53,85,18,402,127,94,21,FALSE
2024-12-31 00:18:17,2025-01-01 02:59:37,UTC-06:00,2024-12-31 13:01:00,2024-12-31 17:01:00,36,17.5,225,240,119,63,43,15,628,127,94,,TRUE
2024-12-31 00:18:17,2025-01-01 02:59:37,UTC-06:00,2024-12-31 00:18:17,2024-12-31 04:33:59,46,16.6,223,255,151,51,21,32,486,8,87,51,FALSE
2024-12-30 01:35:14,2024-12-31 00:18:17,UTC-06:00,2024-12-30 01:35:14,2024-12-30 10:26:51,97,16.9,473,531,333,106,34,58,486,85,89,59,FALSE
2024-12-29 01:50:27,2024-12-30 01:35:14,UTC-06:00,2024-12-29 19:26:06,2024-12-29 20:51:10,13,17.8,70,75,34,16,20,5,555,85,92,,TRUE
2024-12-29 01:50:27,2024-12-30 01:35:14,UTC-06:00,2024-12-29 01:50:27,2024-12-29 08:29:25,73,17.1,365,398,184,87,94,33,499,8,91,61,FALSE
2024-12-28 02:18:16,2024-12-29 01:50:27,UTC-06:00,2024-12-28 02:18:16,2024-12-28 10:59:47,97,16.5,451,521,280,108,63,70,465,0,86,41,FALSE
2024-12-26 01:46:50,2024-12-28 02:18:16,UTC-06:00,2024-12-26 01:46:50,2024-12-26 07:07:22,100,17.5,280,307,226,34,20,27,59,16,91,21,FALSE
2024-12-24 15:34:30,2024-12-26 01:46:50,UTC-06:00,2024-12-25 04:50:30,2024-12-25 12:59:20,88,17.2,437,488,261,109,67,51,497,16,89,,TRUE
2024-12-24 15:34:30,2024-12-26 01:46:50,UTC-06:00,2024-12-24 15:34:30,2024-12-24 18:52:32,88,17.3,184,198,139,22,23,14,209,118,94,26,FALSE
2024-12-23 14:38:22,2024-12-24 15:34:30,UTC-06:00,2024-12-24 04:08:42,2024-12-24 10:59:40,65,17.4,380,410,222,85,73,30,584,118,93,,TRUE
2024-12-23 14:38:22,2024-12-24 15:34:30,UTC-06:00,2024-12-23 14:38:22,2024-12-23 18:31:58,47,17.4,211,233,184,9,18,22,448,127,92,12,FALSE
2024-12-22 23:43:52,2024-12-23 14:38:22,UTC-06:00,2024-12-23 03:54:17,2024-12-23 06:32:54,24,17.7,144,158,68,36,40,14,593,127,91,,TRUE
2024-12-22 23:43:52,2024-12-23 14:38:22,UTC-06:00,2024-12-22 23:43:52,2024-12-23 00:57:25,22,21.1,73,73,73,0,0,0,327,127,100,25,FALSE
2024-12-21 03:02:49,2024-12-23 00:43:52,UTC-05:00,2024-12-21 09:11:21,2024-12-21 14:26:00,45,17.0,270,312,183,34,53,42,594,127,86,,TRUE
2024-12-21 03:02:49,2024-12-23 00:43:52,UTC-05:00,2024-12-21 03:02:49,2024-12-21 04:59:56,16,17.9,102,117,66,24,12,15,637,102,89,48,FALSE
2024-12-20 04:02:08,2024-12-21 03:02:49,UTC-05:00,2024-12-20 04:02:08,2024-12-20 09:15:13,58,17.6,279,313,151,68,60,34,484,33,89,57,FALSE
2024-12-19 04:10:30,2024-12-20 04:02:08,UTC-05:00,2024-12-19 19:22:42,2024-12-19 20:39:44,7,19.7,37,77,33,1,3,40,507,33,48,,TRUE
2024-12-19 04:10:30,2024-12-20 04:02:08,UTC-05:00,2024-12-19 04:10:30,2024-12-19 11:46:43,87,17.5,346,456,213,68,65,110,398,22,83,44,FALSE
2024-12-18 03:21:54,2024-12-19 04:10:30,UTC-05:00,2024-12-18 16:57:55,2024-12-18 18:47:42,20,18.5,98,109,86,0,12,11,492,22,91,,TRUE
2024-12-18 03:21:54,2024-12-19 04:10:30,UTC-05:00,2024-12-18 03:21:54,2024-12-18 14:41:13,94,17.5,512,679,298,117,97,167,548,68,75,59,FALSE
2024-12-17 03:47:44,2024-12-18 03:21:54,UTC-05:00,2024-12-17 03:47:44,2024-12-17 12:04:42,75,17.5,414,485,200,104,110,71,551,81,85,75,FALSE
2024-12-16 03:30:37,2024-12-17 03:47:44,UTC-05:00,2024-12-16 03:30:37,2024-12-16 09:41:06,67,16.8,332,370,158,67,107,38,494,0,90,77,FALSE
2024-12-15 03:25:09,2024-12-16 03:30:37,UTC-05:00,2024-12-15 03:25:09,2024-12-15 11:56:31,100,17.2,478,511,231,87,160,33,471,0,93,68,FALSE
2024-12-14 03:16:44,2024-12-15 03:25:09,UTC-05:00,2024-12-14 15:40:06,2024-12-14 17:20:37,,,,,,,,,,,,,TRUE
2024-12-14 03:16:44,2024-12-15 03:25:09,UTC-05:00,2024-12-14 03:16:44,2024-12-14 11:30:10,100,16.9,452,493,225,113,114,41,425,9,91,54,FALSE
2024-12-13 01:37:13,2024-12-14 03:16:44,UTC-05:00,2024-12-13 22:19:07,2024-12-13 23:52:32,17,14.5,89,89,89,0,0,0,515,9,100,,TRUE
2024-12-13 01:37:13,2024-12-14 03:16:44,UTC-05:00,2024-12-13 01:37:13,2024-12-13 10:45:24,97,17.4,497,548,262,109,126,51,512,30,90,61,FALSE
2024-12-12 04:12:26,2024-12-13 01:37:13,UTC-05:00,2024-12-12 04:12:26,2024-12-12 11:42:32,90,17.2,407,450,220,90,97,43,454,87,90,40,FALSE
2024-12-11 01:55:08,2024-12-12 04:12:26,UTC-05:00,2024-12-11 13:58:53,2024-12-11 15:44:26,18,17.3,100,105,64,23,13,5,553,87,96,,TRUE
2024-12-11 01:55:08,2024-12-12 04:12:26,UTC-05:00,2024-12-11 01:55:08,2024-12-11 08:19:57,66,17.2,342,384,190,107,45,42,517,45,89,53,FALSE
2024-12-10 03:07:01,2024-12-11 01:55:08,UTC-05:00,2024-12-10 03:07:01,2024-12-10 11:33:43,83,17.1,430,504,237,84,109,74,521,32,85,47,FALSE
2024-12-09 03:22:54,2024-12-10 03:07:01,UTC-05:00,2024-12-09 03:22:54,2024-12-09 11:27:39,89,17.0,422,484,222,107,93,62,473,0,89,32,FALSE
2024-12-07 16:59:20,2024-12-09 03:22:54,UTC-05:00,2024-12-07 16:59:20,2024-12-08 06:47:40,100,17.2,828,828,828,0,0,0,547,79,100,12,FALSE
2024-12-07 02:34:12,2024-12-07 16:59:20,UTC-05:00,2024-12-07 02:34:12,2024-12-07 10:52:15,78,17.1,446,498,246,106,94,52,571,111,90,70,FALSE
2024-12-06 02:21:19,2024-12-07 02:34:12,UTC-05:00,2024-12-06 15:03:00,2024-12-06 16:03:00,6,17.5,35,60,21,7,7,25,587,111,59,,TRUE
2024-12-06 02:21:19,2024-12-07 02:34:12,UTC-05:00,2024-12-06 02:21:19,2024-12-06 10:05:11,70,16.7,400,439,192,90,118,39,573,93,91,,FALSE
2024-12-05 04:08:36,2024-12-06 02:21:19,UTC-05:00,2024-12-05 04:08:36,2024-12-05 10:00:57,63,17.0,315,351,142,94,79,36,502,0,89,,FALSE
