Heart_rate_variability_ms,Sleep_Stage,Group_Label,Group_Type
72.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Normal (40–60%),Normal
96.0,Light,Above Normal (>60%),Above Normal
44.0,Light,Normal (40–60%),Normal
83.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Above Normal (>60%),Above Normal
89.0,Light,Above Normal (>60%),Above Normal
71.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Below Normal (<40%),Below Normal
85.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
66.0,Light,Above Normal (>60%),Above Normal
66.0,Light,Above Normal (>60%),Above Normal
94.0,Light,Above Normal (>60%),Above Normal
52.0,Light,Normal (40–60%),Normal
67.0,Light,Above Normal (>60%),Above Normal
93.0,Light,Above Normal (>60%),Above Normal
47.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
89.0,Light,Above Normal (>60%),Above Normal
47.0,Light,Normal (40–60%),Normal
70.0,Light,Above Normal (>60%),Above Normal
70.0,Light,Above Normal (>60%),Above Normal
55.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
73.0,Light,Above Normal (>60%),Above Normal
46.0,Light,Below Normal (<40%),Below Normal
48.0,Light,Below Normal (<40%),Below Normal
60.0,Light,Normal (40–60%),Normal
83.0,Light,Above Normal (>60%),Above Normal
59.0,Light,Above Normal (>60%),Above Normal
50.0,Light,Normal (40–60%),Normal
78.0,Light,Above Normal (>60%),Above Normal
99.0,Light,Above Normal (>60%),Above Normal
99.0,Light,Above Normal (>60%),Above Normal
59.0,Light,Normal (40–60%),Normal
61.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Above Normal (>60%),Above Normal
47.0,Light,Below Normal (<40%),Below Normal
56.0,Light,Above Normal (>60%),Above Normal
75.0,Light,Above Normal (>60%),Above Normal
50.0,Light,Normal (40–60%),Normal
60.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
37.0,Light,Normal (40–60%),Normal
79.0,Light,Above Normal (>60%),Above Normal
96.0,Light,Above Normal (>60%),Above Normal
45.0,Light,Normal (40–60%),Normal
42.0,Light,Above Normal (>60%),Above Normal
89.0,Light,Above Normal (>60%),Above Normal
89.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
79.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Normal (40–60%),Normal
69.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
36.0,Light,Normal (40–60%),Normal
77.0,Light,Above Normal (>60%),Above Normal
77.0,Light,Above Normal (>60%),Above Normal
77.0,Light,Above Normal (>60%),Above Normal
31.0,Light,Below Normal (<40%),Below Normal
33.0,Light,Normal (40–60%),Normal
33.0,Light,Normal (40–60%),Normal
80.0,Light,Above Normal (>60%),Above Normal
80.0,Light,Above Normal (>60%),Above Normal
80.0,Light,Above Normal (>60%),Above Normal
80.0,Light,Above Normal (>60%),Above Normal
44.0,Light,Normal (40–60%),Normal
59.0,Light,Above Normal (>60%),Above Normal
58.0,Light,Normal (40–60%),Normal
78.0,Light,Above Normal (>60%),Above Normal
78.0,Light,Above Normal (>60%),Above Normal
78.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Normal (40–60%),Normal
84.0,Light,Above Normal (>60%),Above Normal
22.0,Light,Below Normal (<40%),Below Normal
66.0,Light,Normal (40–60%),Normal
49.0,Light,Normal (40–60%),Normal
58.0,Light,Above Normal (>60%),Above Normal
58.0,Light,Above Normal (>60%),Above Normal
79.0,Light,Above Normal (>60%),Above Normal
79.0,Light,Above Normal (>60%),Above Normal
79.0,Light,Above Normal (>60%),Above Normal
47.0,Light,Normal (40–60%),Normal
44.0,Light,Above Normal (>60%),Above Normal
84.0,Light,Above Normal (>60%),Above Normal
90.0,Light,Above Normal (>60%),Above Normal
90.0,Light,Above Normal (>60%),Above Normal
90.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Above Normal (>60%),Above Normal
55.0,Light,Normal (40–60%),Normal
115.0,Light,Above Normal (>60%),Above Normal
58.0,Light,Above Normal (>60%),Above Normal
58.0,Light,Above Normal (>60%),Above Normal
46.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
66.0,Light,Above Normal (>60%),Above Normal
46.0,Light,Above Normal (>60%),Above Normal
97.0,Light,Normal (40–60%),Normal
97.0,Light,Normal (40–60%),Normal
97.0,Light,Normal (40–60%),Normal
97.0,Light,Normal (40–60%),Normal
45.0,Light,Normal (40–60%),Normal
61.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Above Normal (>60%),Above Normal
36.0,Light,Normal (40–60%),Normal
74.0,Light,Above Normal (>60%),Above Normal
74.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Normal (40–60%),Normal
87.0,Light,Normal (40–60%),Normal
87.0,Light,Normal (40–60%),Normal
34.0,Light,Normal (40–60%),Normal
49.0,Light,Above Normal (>60%),Above Normal
88.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
30.0,Light,Below Normal (<40%),Below Normal
56.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Above Normal (>60%),Above Normal
92.0,Light,Above Normal (>60%),Above Normal
92.0,Light,Above Normal (>60%),Above Normal
92.0,Light,Above Normal (>60%),Above Normal
92.0,Light,Above Normal (>60%),Above Normal
92.0,Light,Above Normal (>60%),Above Normal
41.0,Light,Below Normal (<40%),Below Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
61.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Below Normal (<40%),Below Normal
67.0,Light,Above Normal (>60%),Above Normal
67.0,Light,Above Normal (>60%),Above Normal
67.0,Light,Above Normal (>60%),Above Normal
67.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
75.0,Light,Above Normal (>60%),Above Normal
75.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Normal (40–60%),Normal
67.0,Light,Above Normal (>60%),Above Normal
64.0,Light,Above Normal (>60%),Above Normal
55.0,Light,Below Normal (<40%),Below Normal
90.0,Light,Above Normal (>60%),Above Normal
54.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
63.0,Light,Above Normal (>60%),Above Normal
67.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Above Normal (>60%),Above Normal
44.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Normal (40–60%),Normal
86.0,Light,Normal (40–60%),Normal
86.0,Light,Normal (40–60%),Normal
59.0,Light,Below Normal (<40%),Below Normal
58.0,Light,Above Normal (>60%),Above Normal
97.0,Light,Above Normal (>60%),Above Normal
97.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Above Normal (>60%),Above Normal
72.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
43.0,Light,Normal (40–60%),Normal
72.0,Light,Above Normal (>60%),Above Normal
72.0,Light,Above Normal (>60%),Above Normal
72.0,Light,Above Normal (>60%),Above Normal
76.0,Light,Above Normal (>60%),Above Normal
76.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Normal (40–60%),Normal
51.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Normal (40–60%),Normal
52.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Normal (40–60%),Normal
86.0,Light,Normal (40–60%),Normal
39.0,Light,Above Normal (>60%),Above Normal
60.0,Light,Above Normal (>60%),Above Normal
82.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Normal (40–60%),Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
86.0,Light,Above Normal (>60%),Above Normal
62.0,Light,Above Normal (>60%),Above Normal
37.0,Light,Normal (40–60%),Normal
102.0,Light,Above Normal (>60%),Above Normal
102.0,Light,Above Normal (>60%),Above Normal
102.0,Light,Above Normal (>60%),Above Normal
102.0,Light,Above Normal (>60%),Above Normal
39.0,Light,Normal (40–60%),Normal
64.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
85.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Above Normal (>60%),Above Normal
45.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
56.0,Light,Above Normal (>60%),Above Normal
55.0,Light,Above Normal (>60%),Above Normal
75.0,Light,Above Normal (>60%),Above Normal
84.0,Light,Above Normal (>60%),Above Normal
84.0,Light,Above Normal (>60%),Above Normal
84.0,Light,Above Normal (>60%),Above Normal
52.0,Light,Above Normal (>60%),Above Normal
40.0,Light,Above Normal (>60%),Above Normal
74.0,Light,Above Normal (>60%),Above Normal
81.0,Light,Above Normal (>60%),Above Normal
57.0,Light,Above Normal (>60%),Above Normal
38.0,Light,Above Normal (>60%),Above Normal
87.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Above Normal (>60%),Above Normal
53.0,Light,Above Normal (>60%),Above Normal
39.0,Light,Below Normal (<40%),Below Normal
39.0,Light,Below Normal (<40%),Below Normal
39.0,Light,Below Normal (<40%),Below Normal
83.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
83.0,Light,Above Normal (>60%),Above Normal
55.0,Light,Above Normal (>60%),Above Normal
41.0,Light,Above Normal (>60%),Above Normal
41.0,Light,Above Normal (>60%),Above Normal
